brand,model,model_year,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,horsepower,engine_capacity,cylinders
Ford,Utility Police Interceptor Base,2013,51000,E85 Flex Fuel,6-Speed A/T,Black,Black,1,1,10300,300.0,3.7,6.0
Hyundai,Palisade SEL,2021,34742,Gasoline,8-Speed Automatic,Moonlight Cloud,Gray,1,1,38005,240.0,3.8,6.0
Lexus,RX 350 RX 350,2022,22372,Gasoline,Automatic,Blue,Black,0,0,54598,301.0,3.5,6.0
INFINITI,Q50 Hybrid Sport,2015,88900,Hybrid,7-Speed A/T,Black,Black,0,1,15500,354.0,3.5,6.0
Audi,Q3 45 S line Premium Plus,2021,9835,Gasoline,8-Speed Automatic,Glacier White Metallic,Black,0,0,34999,333.0,2.0,4.0
Acura,ILX 2.4L,2016,136397,Gasoline,F,Silver,Ebony.,0,0,14798,279.5,2.4,6.0
Audi,S3 2.0T Premium Plus,2017,84000,Gasoline,6-Speed A/T,Blue,Black,0,1,31000,292.0,2.0,4.0
BMW,740 iL,2001,242000,Gasoline,A/T,Green,Green,0,1,7300,282.0,4.4,8.0
Lexus,RC 350 F Sport,2021,23436,Gasoline,6-Speed A/T,Black,Black,0,1,41927,311.0,3.5,6.0
Tesla,Model X Long Range Plus,2020,34000,Electric,A/T,Black,Black,0,1,69950,534.0,0.0,0.0
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,27608,Gasoline,Automatic,Fuji White,Pimento / Ebony,0,0,73897,380.0,3.0,6.0
Aston,Martin DBS Superleggera,2019,22770,Gasoline,8-Speed A/T,Silver,Black,0,1,184606,715.0,5.2,12.0
Toyota,Supra 3.0 Premium,2021,12500,Gasoline,A/T,Yellow,Black,0,1,53500,382.0,3.0,6.0
Lincoln,Aviator Reserve AWD,2022,18196,Gasoline,Transmission w/Dual Shift Mode,Black,Brown,0,1,62000,400.0,3.0,6.0
Jaguar,F-TYPE,2020,15903,Gasoline,Automatic,Silver,Black,0,0,47998,340.0,2.0,8.0
Land,Rover LR4 HSE,2013,79800,Gasoline,A/T,White,Black,0,1,29990,375.0,5.0,8.0
Mercedes-Benz,Metris Base,2021,1685,Gasoline,9-Speed Automatic,Gray,White,0,1,250000,362.0,2.0,4.0
Dodge,Challenger SXT,2013,61074,Gasoline,A/T,Black,Gray,0,1,16800,305.0,3.6,6.0
Nissan,350Z Enthusiast,2003,74000,Gasoline,6-Speed M/T,Purple,Unknown,0,1,11000,287.0,3.5,6.0
Jaguar,F-TYPE R,2018,35250,Gasoline,8-Speed A/T,Green,Black,0,1,68750,550.0,5.0,8.0
Genesis,GV70 3.5T Sport,2023,5400,Gasoline,8-Speed A/T,Green,Beige,0,0,60000,375.0,3.5,6.0
Chevrolet,S-10 LS,2000,133510,E85 Flex Fuel,A/T,Blue,Black,0,1,4500,120.0,2.2,4.0
BMW,440 Gran Coupe 440i xDrive,2020,25990,Gasoline,Automatic,White,Beige,0,0,38598,335.0,3.0,6.0
Ford,F-150 XLT,2023,2823,Gasoline,Automatic,Iconic Silver Metallic,Black,0,1,58504,325.0,3.5,6.0
Chevrolet,Suburban RST,2021,52000,Gasoline,10-Speed A/T,Blue,Black,0,1,61000,355.0,5.3,8.0
Hyundai,Elantra N Base,2022,11650,Gasoline,Transmission w/Dual Shift Mode,Black,Black,0,1,32300,276.0,2.0,4.0
Nissan,Sentra SR,2016,96541,Gasoline,Automatic,Blue,Black,0,0,13998,284.0,1.8,6.0
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500,Gasoline,A/T,Gray,Black,0,1,59995,382.0,2.0,4.0
BMW,650 Gran Coupe i xDrive,2015,69000,Gasoline,8-Speed A/T,Gray,Black,0,1,25700,445.0,4.4,8.0
Audi,Q5 2.0T Premium Plus,2017,81880,E85 Flex Fuel,8-Speed Automatic,Mythos Black Metallic,Black,0,1,21375,333.0,2.0,4.0
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800,Gasoline,9-Speed A/T,Silver,Black,0,1,48000,362.0,3.0,6.0
Dodge,Ram 1500 Laramie Mega Cab,2006,300183,Gasoline,A/T,Silver,Gray,1,1,10900,345.0,5.7,8.0
BMW,i3 120Ah w/Range Extender,2020,35035,Hybrid,Automatic,Black,Black,0,0,24998,335.0,0.7,6.0
Kia,Sorento SX,2011,171000,Gasoline,A/T,Black,Black,0,1,5999,276.0,3.5,6.0
Lexus,LX 570 Base,2016,118700,Gasoline,8-Speed A/T,Black,Beige,0,1,46900,383.0,5.7,8.0
Jeep,New Compass Trailhawk,2017,119000,Gasoline,A/T,Red,Black,0,1,15900,180.0,2.4,4.0
BMW,340 i,2018,44261,Gasoline,Automatic,Gray,Black,0,0,33598,335.0,3.0,6.0
Audi,A4 2.0T Premium Plus quattro,2012,125575,Gasoline,8-Speed A/T,Silver,Black,0,1,8999,211.0,2.0,4.0
Hyundai,Tucson SE,2007,16200,Gasoline,A/T,Gold,Beige,0,1,8200,173.0,2.7,6.0
BMW,Z4 sDrive28i,2014,70000,Gasoline,A/T,White,Beige,1,1,20000,240.0,2.0,4.0
Bentley,Continental GTC Base,2011,20200,E85 Flex Fuel,6-Speed A/T,Black,Black,0,1,79950,552.0,6.0,12.0
Honda,Passport Elite,2023,2978,Gasoline,Automatic,Lunar Silver Metallic,Gray,0,0,45498,205.0,3.5,4.0
Dodge,Sprinter 2500,2007,189719,Diesel,5-Speed A/T,White,Gray,1,1,14000,345.0,3.0,6.0
BMW,M850 i xDrive,2019,9949,Gasoline,Automatic,Blue,Black,0,0,75798,335.0,4.4,6.0
Lucid,Air Grand Touring,2022,3552,Electric,1-Speed A/T,Red,Beige,0,1,119999,536.0,0.0,0.0
Audi,A7 Premium,2012,54000,Gasoline,8-Speed A/T,Black,Brown,1,1,36880,310.0,3.0,6.0
Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351,Gasoline,Automatic,Black,Jet Black,0,1,43147,355.0,5.3,8.0
MINI,Convertible John Cooper Works,2017,24280,Gasoline,6-Speed A/T,Black,Black,1,1,29000,228.0,2.0,4.0
Toyota,Avalon Touring,2016,89148,Gasoline,A/T,Black,Black,0,1,17500,268.0,3.5,6.0
Porsche,Cayenne Platinum Edition,2017,73043,Gasoline,8-Speed A/T,White,Black,0,1,30990,300.0,3.6,6.0
Mercedes-Benz,AMG C 63 S,2017,60000,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,1,1,52500,503.0,4.0,8.0
Honda,CR-V EX-L,2016,73549,Gasoline,Automatic CVT,Mountain Air Metallic,Black,1,0,20848,205.0,2.4,4.0
Hummer,H2 Base,2005,110900,Gasoline,A/T,Gray,Black,0,1,19500,325.0,6.0,8.0
Porsche,911 Carrera S,2013,39000,Gasoline,7-Speed A/T,Blue,Black,0,1,73000,400.0,3.8,6.0
Mercedes-Benz,CLA-Class CLA 250,2016,120000,Gasoline,Transmission w/Dual Shift Mode,Black,Black,0,1,19800,208.0,2.0,4.0
Chrysler,300 Touring,2009,134602,Gasoline,Transmission w/Dual Shift Mode,Blue,Black,0,1,7500,250.0,3.5,6.0
Nissan,Rogue SV,2023,1094,Gasoline,Automatic CVT,Caspian Blue,Light Gray,0,0,30999,284.0,1.5,3.0
Audi,A3 2.0T,2010,83500,Gasoline,Transmission w/Dual Shift Mode,Silver,Black,0,1,6500,200.0,2.0,4.0
Ford,Mustang GT Premium,2014,37060,Gasoline,6-Speed M/T,Black,Black,0,1,28500,420.0,5.0,8.0
Acura,RL Technology,2010,97700,Gasoline,Transmission w/Dual Shift Mode,Blue,Beige,0,1,10995,300.0,3.7,6.0
Volvo,XC90 Hybrid T8 R-Design,2018,40000,Plug-In Hybrid,Transmission w/Dual Shift Mode,Black,Black,0,1,42000,400.0,2.0,4.0
Audi,R8 5.2 V10,2018,8940,Gasoline,7-Speed Automatic with Auto-Shift,Tango Red Metallic,Black,0,0,144900,333.0,5.2,10.0
Mercedes-Benz,GLK-Class GLK 350,2014,186000,Gasoline,A/T,Black,Beige,1,1,10000,302.0,3.5,6.0
Toyota,C-HR LE,2021,13180,Gasoline,CVT-F,Unknown,Unknown,0,0,23998,268.0,2.0,6.0
Lexus,IS 350 Base,2014,104000,Gasoline,8-Speed A/T,Black,Black,0,1,21000,306.0,3.5,6.0
BMW,X4 M40i,2023,8500,Hybrid,Transmission w/Dual Shift Mode,Gray,Beige,0,1,67900,382.0,3.0,6.0
